,Source,Sink,Time,Value
42,PGE_valley,PGE_bay,19,3584.9104388708893
43,PGE_valley,PGE_bay,20,3555.1248221773176
44,PGE_valley,PGE_bay,21,3497.884684626464
45,PGE_valley,PGE_bay,22,3296.0338013833507
46,PGE_valley,PGE_bay,23,3043.222977657692
47,PGE_valley,PGE_bay,24,2751.171717151589
48,PGE_valley,SCE,1,0.0
49,PGE_valley,SCE,2,0.0
50,PGE_valley,SCE,3,0.0
51,PGE_valley,SCE,4,0.0
52,PGE_valley,SCE,5,0.0
53,PGE_valley,SCE,6,0.0
54,PGE_valley,SCE,7,0.0
55,PGE_valley,SCE,8,0.0
56,PGE_valley,SCE,9,0.0
57,PGE_valley,SCE,10,0.0
58,PGE_valley,SCE,11,0.0
59,PGE_valley,SCE,12,0.0
60,PGE_valley,SCE,13,0.0
61,PGE_valley,SCE,14,0.0
62,PGE_valley,SCE,15,0.0
63,PGE_valley,SCE,16,0.0
64,PGE_valley,SCE,17,0.0
65,PGE_valley,SCE,18,0.0
66,PGE_valley,SCE,19,690.8595652062388
67,PGE_valley,SCE,20,698.6425657823315
68,PGE_valley,SCE,21,274.83343394321673
69,PGE_valley,SCE,22,276.11561032262557
70,PGE_valley,SCE,23,0.0
71,PGE_valley,SCE,24,0.0
72,PGE_valley,SDGE,1,0.0
73,PGE_valley,SDGE,2,0.0
74,PGE_valley,SDGE,3,0.0
75,PGE_valley,SDGE,4,0.0
76,PGE_valley,SDGE,5,0.0
77,PGE_valley,SDGE,6,0.0
78,PGE_valley,SDGE,7,0.0
79,PGE_valley,SDGE,8,0.0
80,PGE_valley,SDGE,9,0.0
81,PGE_valley,SDGE,10,0.0
82,PGE_valley,SDGE,11,0.0
83,PGE_valley,SDGE,12,0.0
84,PGE_valley,SDGE,13,0.0
85,PGE_valley,SDGE,14,0.0
86,PGE_valley,SDGE,15,0.0
87,PGE_valley,SDGE,16,0.0
88,PGE_valley,SDGE,17,0.0
89,PGE_valley,SDGE,18,0.0
90,PGE_valley,SDGE,19,0.0
91,PGE_valley,SDGE,20,0.0
92,PGE_valley,SDGE,21,0.0
93,PGE_valley,SDGE,22,0.0
94,PGE_valley,SDGE,23,0.0
95,PGE_valley,SDGE,24,0.0
96,PGE_bay,PGE_valley,1,0.0
97,PGE_bay,PGE_valley,2,0.0
98,PGE_bay,PGE_valley,3,0.0
99,PGE_bay,PGE_valley,4,0.0
100,PGE_bay,PGE_valley,5,0.0
101,PGE_bay,PGE_valley,6,0.0
102,PGE_bay,PGE_valley,7,0.0
103,PGE_bay,PGE_valley,8,0.0
104,PGE_bay,PGE_valley,9,0.0
105,PGE_bay,PGE_valley,10,0.0
106,PGE_bay,PGE_valley,11,0.0
107,PGE_bay,PGE_valley,12,0.0
108,PGE_bay,PGE_valley,13,0.0
109,PGE_bay,PGE_valley,14,0.0
110,PGE_bay,PGE_valley,15,0.0
111,PGE_bay,PGE_valley,16,0.0
112,PGE_bay,PGE_valley,17,0.0
113,PGE_bay,PGE_valley,18,0.0
114,PGE_bay,PGE_valley,19,0.0
115,PGE_bay,PGE_valley,20,0.0
116,PGE_bay,PGE_valley,21,0.0
117,PGE_bay,PGE_valley,22,0.0
118,PGE_bay,PGE_valley,23,0.0
119,PGE_bay,PGE_valley,24,0.0
120,PGE_bay,PGE_bay,1,0.0
121,PGE_bay,PGE_bay,2,0.0
122,PGE_bay,PGE_bay,3,0.0
123,PGE_bay,PGE_bay,4,0.0
124,PGE_bay,PGE_bay,5,0.0
125,PGE_bay,PGE_bay,6,0.0
126,PGE_bay,PGE_bay,7,0.0
127,PGE_bay,PGE_bay,8,0.0
128,PGE_bay,PGE_bay,9,0.0
129,PGE_bay,PGE_bay,10,0.0
130,PGE_bay,PGE_bay,11,0.0
131,PGE_bay,PGE_bay,12,0.0
132,PGE_bay,PGE_bay,13,0.0
133,PGE_bay,PGE_bay,14,0.0
134,PGE_bay,PGE_bay,15,0.0
135,PGE_bay,PGE_bay,16,0.0
136,PGE_bay,PGE_bay,17,0.0
137,PGE_bay,PGE_bay,18,0.0
138,PGE_bay,PGE_bay,19,0.0
139,PGE_bay,PGE_bay,20,0.0
140,PGE_bay,PGE_bay,21,0.0
141,PGE_bay,PGE_bay,22,0.0
142,PGE_bay,PGE_bay,23,0.0
143,PGE_bay,PGE_bay,24,0.0
144,PGE_bay,SCE,1,0.0
145,PGE_bay,SCE,2,0.0
146,PGE_bay,SCE,3,0.0
147,PGE_bay,SCE,4,0.0
148,PGE_bay,SCE,5,0.0
149,PGE_bay,SCE,6,0.0
150,PGE_bay,SCE,7,0.0
151,PGE_bay,SCE,8,0.0
152,PGE_bay,SCE,9,0.0
153,PGE_bay,SCE,10,0.0
154,PGE_bay,SCE,11,0.0
155,PGE_bay,SCE,12,0.0
156,PGE_bay,SCE,13,0.0
157,PGE_bay,SCE,14,0.0
158,PGE_bay,SCE,15,0.0
159,PGE_bay,SCE,16,0.0
160,PGE_bay,SCE,17,0.0
161,PGE_bay,SCE,18,0.0
162,PGE_bay,SCE,19,0.0
163,PGE_bay,SCE,20,0.0
164,PGE_bay,SCE,21,0.0
165,PGE_bay,SCE,22,0.0
166,PGE_bay,SCE,23,0.0
167,PGE_bay,SCE,24,0.0
168,PGE_bay,SDGE,1,0.0
169,PGE_bay,SDGE,2,0.0
170,PGE_bay,SDGE,3,0.0
171,PGE_bay,SDGE,4,0.0
172,PGE_bay,SDGE,5,0.0
173,PGE_bay,SDGE,6,0.0
174,PGE_bay,SDGE,7,0.0
175,PGE_bay,SDGE,8,0.0
176,PGE_bay,SDGE,9,0.0
177,PGE_bay,SDGE,10,0.0
178,PGE_bay,SDGE,11,0.0
179,PGE_bay,SDGE,12,0.0
180,PGE_bay,SDGE,13,0.0
181,PGE_bay,SDGE,14,0.0
182,PGE_bay,SDGE,15,0.0
183,PGE_bay,SDGE,16,0.0
184,PGE_bay,SDGE,17,0.0
185,PGE_bay,SDGE,18,0.0
186,PGE_bay,SDGE,19,0.0
187,PGE_bay,SDGE,20,0.0
188,PGE_bay,SDGE,21,0.0
189,PGE_bay,SDGE,22,0.0
190,PGE_bay,SDGE,23,0.0
191,PGE_bay,SDGE,24,0.0
192,SCE,PGE_valley,1,0.0
193,SCE,PGE_valley,2,0.0
194,SCE,PGE_valley,3,0.0
195,SCE,PGE_valley,4,0.0
196,SCE,PGE_valley,5,0.0
197,SCE,PGE_valley,6,0.0
198,SCE,PGE_valley,7,0.0
199,SCE,PGE_valley,8,0.0
200,SCE,PGE_valley,9,0.0
201,SCE,PGE_valley,10,0.0
202,SCE,PGE_valley,11,0.0
203,SCE,PGE_valley,12,0.0
204,SCE,PGE_valley,13,0.0
205,SCE,PGE_valley,14,0.0
206,SCE,PGE_valley,15,0.0
207,SCE,PGE_valley,16,0.0
208,SCE,PGE_valley,17,0.0
209,SCE,PGE_valley,18,0.0
210,SCE,PGE_valley,19,0.0
211,SCE,PGE_valley,20,0.0
212,SCE,PGE_valley,21,0.0
213,SCE,PGE_valley,22,0.0
214,SCE,PGE_valley,23,0.0
215,SCE,PGE_valley,24,0.0
216,SCE,PGE_bay,1,0.0
217,SCE,PGE_bay,2,0.0
218,SCE,PGE_bay,3,0.0
219,SCE,PGE_bay,4,0.0
220,SCE,PGE_bay,5,0.0
221,SCE,PGE_bay,6,0.0
222,SCE,PGE_bay,7,0.0
223,SCE,PGE_bay,8,0.0
224,SCE,PGE_bay,9,0.0
225,SCE,PGE_bay,10,0.0
226,SCE,PGE_bay,11,0.0
227,SCE,PGE_bay,12,0.0
228,SCE,PGE_bay,13,0.0
229,SCE,PGE_bay,14,0.0
230,SCE,PGE_bay,15,0.0
231,SCE,PGE_bay,16,0.0
232,SCE,PGE_bay,17,0.0
233,SCE,PGE_bay,18,0.0
234,SCE,PGE_bay,19,0.0
235,SCE,PGE_bay,20,0.0
236,SCE,PGE_bay,21,0.0
237,SCE,PGE_bay,22,0.0
238,SCE,PGE_bay,23,0.0
239,SCE,PGE_bay,24,0.0
240,SCE,SCE,1,0.0
241,SCE,SCE,2,0.0
242,SCE,SCE,3,0.0
243,SCE,SCE,4,0.0
244,SCE,SCE,5,0.0
245,SCE,SCE,6,0.0
246,SCE,SCE,7,0.0
247,SCE,SCE,8,0.0
248,SCE,SCE,9,0.0
249,SCE,SCE,10,0.0
250,SCE,SCE,11,0.0
251,SCE,SCE,12,0.0
252,SCE,SCE,13,0.0
253,SCE,SCE,14,0.0
254,SCE,SCE,15,0.0
255,SCE,SCE,16,0.0
256,SCE,SCE,17,0.0
257,SCE,SCE,18,0.0
258,SCE,SCE,19,0.0
259,SCE,SCE,20,0.0
260,SCE,SCE,21,0.0
261,SCE,SCE,22,0.0
262,SCE,SCE,23,0.0
263,SCE,SCE,24,0.0
264,SCE,SDGE,1,0.0
265,SCE,SDGE,2,0.0
266,SCE,SDGE,3,0.0
267,SCE,SDGE,4,0.0
268,SCE,SDGE,5,0.0
269,SCE,SDGE,6,0.0
270,SCE,SDGE,7,0.0
271,SCE,SDGE,8,0.0
272,SCE,SDGE,9,0.0
273,SCE,SDGE,10,0.0
274,SCE,SDGE,11,0.0
275,SCE,SDGE,12,0.0
276,SCE,SDGE,13,0.0
277,SCE,SDGE,14,0.0
278,SCE,SDGE,15,0.0
279,SCE,SDGE,16,0.0
280,SCE,SDGE,17,0.0
281,SCE,SDGE,18,31.366496913785625
282,SCE,SDGE,19,244.84759618669815
283,SCE,SDGE,20,386.4519495588016
284,SCE,SDGE,21,348.15987369832646
285,SCE,SDGE,22,271.53659108103386
286,SCE,SDGE,23,58.88707333158352
287,SCE,SDGE,24,0.0
288,SDGE,PGE_valley,1,0.0
289,SDGE,PGE_valley,2,0.0
290,SDGE,PGE_valley,3,0.0
291,SDGE,PGE_valley,4,0.0
292,SDGE,PGE_valley,5,0.0
293,SDGE,PGE_valley,6,0.0
294,SDGE,PGE_valley,7,0.0
295,SDGE,PGE_valley,8,0.0
296,SDGE,PGE_valley,9,0.0
297,SDGE,PGE_valley,10,0.0
298,SDGE,PGE_valley,11,0.0
299,SDGE,PGE_valley,12,0.0
300,SDGE,PGE_valley,13,0.0
301,SDGE,PGE_valley,14,0.0
302,SDGE,PGE_valley,15,0.0
303,SDGE,PGE_valley,16,0.0
304,SDGE,PGE_valley,17,0.0
305,SDGE,PGE_valley,18,0.0
306,SDGE,PGE_valley,19,0.0
307,SDGE,PGE_valley,20,0.0
308,SDGE,PGE_valley,21,0.0
309,SDGE,PGE_valley,22,0.0
310,SDGE,PGE_valley,23,0.0
311,SDGE,PGE_valley,24,0.0
312,SDGE,PGE_bay,1,0.0
313,SDGE,PGE_bay,2,0.0
314,SDGE,PGE_bay,3,0.0
315,SDGE,PGE_bay,4,0.0
316,SDGE,PGE_bay,5,0.0
317,SDGE,PGE_bay,6,0.0
318,SDGE,PGE_bay,7,0.0
319,SDGE,PGE_bay,8,0.0
320,SDGE,PGE_bay,9,0.0
321,SDGE,PGE_bay,10,0.0
322,SDGE,PGE_bay,11,0.0
323,SDGE,PGE_bay,12,0.0
324,SDGE,PGE_bay,13,0.0
325,SDGE,PGE_bay,14,0.0
326,SDGE,PGE_bay,15,0.0
327,SDGE,PGE_bay,16,0.0
328,SDGE,PGE_bay,17,0.0
329,SDGE,PGE_bay,18,0.0
330,SDGE,PGE_bay,19,0.0
331,SDGE,PGE_bay,20,0.0
332,SDGE,PGE_bay,21,0.0
333,SDGE,PGE_bay,22,0.0
334,SDGE,PGE_bay,23,0.0
335,SDGE,PGE_bay,24,0.0
336,SDGE,SCE,1,0.0
337,SDGE,SCE,2,0.0
338,SDGE,SCE,3,0.0
339,SDGE,SCE,4,0.0
340,SDGE,SCE,5,0.0
341,SDGE,SCE,6,0.0
342,SDGE,SCE,7,0.0
343,SDGE,SCE,8,0.0
344,SDGE,SCE,9,0.0
345,SDGE,SCE,10,0.0
346,SDGE,SCE,11,0.0
347,SDGE,SCE,12,0.0
348,SDGE,SCE,13,0.0
349,SDGE,SCE,14,0.0
350,SDGE,SCE,15,0.0
351,SDGE,SCE,16,0.0
352,SDGE,SCE,17,0.0
353,SDGE,SCE,18,0.0
354,SDGE,SCE,19,0.0
355,SDGE,SCE,20,0.0
356,SDGE,SCE,21,0.0
357,SDGE,SCE,22,0.0
358,SDGE,SCE,23,0.0
359,SDGE,SCE,24,0.0
360,SDGE,SDGE,1,0.0
361,SDGE,SDGE,2,0.0
362,SDGE,SDGE,3,0.0
363,SDGE,SDGE,4,0.0
364,SDGE,SDGE,5,0.0
365,SDGE,SDGE,6,0.0
366,SDGE,SDGE,7,0.0
367,SDGE,SDGE,8,0.0
368,SDGE,SDGE,9,0.0
369,SDGE,SDGE,10,0.0
370,SDGE,SDGE,11,0.0
371,SDGE,SDGE,12,0.0
372,SDGE,SDGE,13,0.0
373,SDGE,SDGE,14,0.0
374,SDGE,SDGE,15,0.0
375,SDGE,SDGE,16,0.0
376,SDGE,SDGE,17,0.0
377,SDGE,SDGE,18,0.0
378,SDGE,SDGE,19,0.0
379,SDGE,SDGE,20,0.0
380,SDGE,SDGE,21,0.0
381,SDGE,SDGE,22,0.0
382,SDGE,SDGE,23,0.0
383,SDGE,SDGE,24,0.0
384,PGE_valley,PGE_valley,25,0.0
385,PGE_valley,PGE_valley,26,0.0
386,PGE_valley,PGE_valley,27,0.0
387,PGE_valley,PGE_valley,28,0.0
388,PGE_valley,PGE_valley,29,0.0
389,PGE_valley,PGE_valley,30,0.0
390,PGE_valley,PGE_valley,31,0.0
391,PGE_valley,PGE_valley,32,0.0
392,PGE_valley,PGE_valley,33,0.0
393,PGE_valley,PGE_valley,34,0.0
394,PGE_valley,PGE_valley,35,0.0
395,PGE_valley,PGE_valley,36,0.0
396,PGE_valley,PGE_valley,37,0.0
397,PGE_valley,PGE_valley,38,0.0
398,PGE_valley,PGE_valley,39,0.0
399,PGE_valley,PGE_valley,40,0.0
400,PGE_valley,PGE_valley,41,0.0
401,PGE_valley,PGE_valley,42,0.0
402,PGE_valley,PGE_valley,43,0.0
403,PGE_valley,PGE_valley,44,0.0
404,PGE_valley,PGE_valley,45,0.0
405,PGE_valley,PGE_valley,46,0.0
406,PGE_valley,PGE_valley,47,0.0
407,PGE_valley,PGE_valley,48,0.0
408,PGE_valley,PGE_bay,25,2533.808874968875
409,PGE_valley,PGE_bay,26,2371.2723007310096
410,PGE_valley,PGE_bay,27,2207.6335064032546
411,PGE_valley,PGE_bay,28,2047.0939119189131
412,PGE_valley,PGE_bay,29,2078.410996608066
413,PGE_valley,PGE_bay,30,2167.16279268576
414,PGE_valley,PGE_bay,31,2402.1513972425582
415,PGE_valley,PGE_bay,32,2859.8095704484513
416,PGE_valley,PGE_bay,33,3019.5254180801
417,PGE_valley,PGE_bay,34,3203.1845269542896
418,PGE_valley,PGE_bay,35,3260.929562428311
419,PGE_valley,PGE_bay,36,3100.6199042505864
420,PGE_valley,PGE_bay,37,3083.3377801122792
421,PGE_valley,PGE_bay,38,3011.8542386223426
422,PGE_valley,PGE_bay,39,3064.467461012058
423,PGE_valley,PGE_bay,40,3007.2836482187895
424,PGE_valley,PGE_bay,41,3212.675546090774
425,PGE_valley,PGE_bay,42,3354.017313411906
426,PGE_valley,PGE_bay,43,3891.604294177465
427,PGE_valley,PGE_bay,44,3816.4949709706466
428,PGE_valley,PGE_bay,45,3695.952334256093
429,PGE_valley,PGE_bay,46,3418.9382646671756
430,PGE_valley,PGE_bay,47,3099.2393880851564
431,PGE_valley,PGE_bay,48,2769.66950955064
432,PGE_valley,SCE,25,0.0
433,PGE_valley,SCE,26,0.0
434,PGE_valley,SCE,27,0.0
435,PGE_valley,SCE,28,0.0
436,PGE_valley,SCE,29,0.0
437,PGE_valley,SCE,30,0.0
438,PGE_valley,SCE,31,0.0
439,PGE_valley,SCE,32,0.0
440,PGE_valley,SCE,33,0.0
441,PGE_valley,SCE,34,0.0
442,PGE_valley,SCE,35,0.0
443,PGE_valley,SCE,36,0.0
444,PGE_valley,SCE,37,0.0
445,PGE_valley,SCE,38,0.0
446,PGE_valley,SCE,39,0.0
447,PGE_valley,SCE,40,0.0
448,PGE_valley,SCE,41,0.0
449,PGE_valley,SCE,42,0.0
450,PGE_valley,SCE,43,0.0
451,PGE_valley,SCE,44,0.0
452,PGE_valley,SCE,45,0.0
453,PGE_valley,SCE,46,0.0
454,PGE_valley,SCE,47,0.0
455,PGE_valley,SCE,48,0.0
456,PGE_valley,SDGE,25,0.0
457,PGE_valley,SDGE,26,0.0
458,PGE_valley,SDGE,27,0.0
459,PGE_valley,SDGE,28,0.0
460,PGE_valley,SDGE,29,0.0
461,PGE_valley,SDGE,30,0.0
462,PGE_valley,SDGE,31,0.0
463,PGE_valley,SDGE,32,0.0
464,PGE_valley,SDGE,33,0.0
465,PGE_valley,SDGE,34,0.0
466,PGE_valley,SDGE,35,0.0
467,PGE_valley,SDGE,36,0.0
468,PGE_valley,SDGE,37,0.0
469,PGE_valley,SDGE,38,0.0
470,PGE_valley,SDGE,39,0.0
471,PGE_valley,SDGE,40,0.0
472,PGE_valley,SDGE,41,0.0
473,PGE_valley,SDGE,42,0.0
474,PGE_valley,SDGE,43,0.0
475,PGE_valley,SDGE,44,0.0
476,PGE_valley,SDGE,45,0.0
477,PGE_valley,SDGE,46,0.0
478,PGE_valley,SDGE,47,0.0
479,PGE_valley,SDGE,48,0.0
480,PGE_bay,PGE_valley,25,0.0
481,PGE_bay,PGE_valley,26,0.0
482,PGE_bay,PGE_valley,27,0.0
483,PGE_bay,PGE_valley,28,0.0
484,PGE_bay,PGE_valley,29,0.0
485,PGE_bay,PGE_valley,30,0.0
486,PGE_bay,PGE_valley,31,0.0
487,PGE_bay,PGE_valley,32,0.0
488,PGE_bay,PGE_valley,33,0.0
489,PGE_bay,PGE_valley,34,0.0
490,PGE_bay,PGE_valley,35,0.0
491,PGE_bay,PGE_valley,36,0.0
492,PGE_bay,PGE_valley,37,0.0
493,PGE_bay,PGE_valley,38,0.0
494,PGE_bay,PGE_valley,39,0.0
495,PGE_bay,PGE_valley,40,0.0
496,PGE_bay,PGE_valley,41,0.0
497,PGE_bay,PGE_valley,42,0.0
498,PGE_bay,PGE_valley,43,0.0
499,PGE_bay,PGE_valley,44,0.0
500,PGE_bay,PGE_valley,45,0.0
501,PGE_bay,PGE_valley,46,0.0
502,PGE_bay,PGE_valley,47,0.0
503,PGE_bay,PGE_valley,48,0.0
504,PGE_bay,PGE_bay,25,0.0
505,PGE_bay,PGE_bay,26,0.0
506,PGE_bay,PGE_bay,27,0.0
507,PGE_bay,PGE_bay,28,0.0
508,PGE_bay,PGE_bay,29,0.0
509,PGE_bay,PGE_bay,30,0.0
510,PGE_bay,PGE_bay,31,0.0
511,PGE_bay,PGE_bay,32,0.0
512,PGE_bay,PGE_bay,33,0.0
513,PGE_bay,PGE_bay,34,0.0
514,PGE_bay,PGE_bay,35,0.0
515,PGE_bay,PGE_bay,36,0.0
516,PGE_bay,PGE_bay,37,0.0
517,PGE_bay,PGE_bay,38,0.0
518,PGE_bay,PGE_bay,39,0.0
519,PGE_bay,PGE_bay,40,0.0
520,PGE_bay,PGE_bay,41,0.0
521,PGE_bay,PGE_bay,42,0.0
522,PGE_bay,PGE_bay,43,0.0
523,PGE_bay,PGE_bay,44,0.0
524,PGE_bay,PGE_bay,45,0.0
525,PGE_bay,PGE_bay,46,0.0
526,PGE_bay,PGE_bay,47,0.0
527,PGE_bay,PGE_bay,48,0.0
528,PGE_bay,SCE,25,0.0
529,PGE_bay,SCE,26,0.0
530,PGE_bay,SCE,27,0.0
531,PGE_bay,SCE,28,0.0
532,PGE_bay,SCE,29,0.0
533,PGE_bay,SCE,30,0.0
534,PGE_bay,SCE,31,0.0
535,PGE_bay,SCE,32,0.0
536,PGE_bay,SCE,33,0.0
537,PGE_bay,SCE,34,0.0
538,PGE_bay,SCE,35,0.0
539,PGE_bay,SCE,36,0.0
540,PGE_bay,SCE,37,0.0
541,PGE_bay,SCE,38,0.0
542,PGE_bay,SCE,39,0.0
543,PGE_bay,SCE,40,0.0
544,PGE_bay,SCE,41,0.0
545,PGE_bay,SCE,42,0.0
546,PGE_bay,SCE,43,0.0
547,PGE_bay,SCE,44,0.0
548,PGE_bay,SCE,45,0.0
549,PGE_bay,SCE,46,0.0
550,PGE_bay,SCE,47,0.0
551,PGE_bay,SCE,48,0.0
552,PGE_bay,SDGE,25,0.0
553,PGE_bay,SDGE,26,0.0
554,PGE_bay,SDGE,27,0.0
555,PGE_bay,SDGE,28,0.0
556,PGE_bay,SDGE,29,0.0
557,PGE_bay,SDGE,30,0.0
558,PGE_bay,SDGE,31,0.0
559,PGE_bay,SDGE,32,0.0
560,PGE_bay,SDGE,33,0.0
561,PGE_bay,SDGE,34,0.0
562,PGE_bay,SDGE,35,0.0
563,PGE_bay,SDGE,36,0.0
564,PGE_bay,SDGE,37,0.0
565,PGE_bay,SDGE,38,0.0
566,PGE_bay,SDGE,39,0.0
567,PGE_bay,SDGE,40,0.0
568,PGE_bay,SDGE,41,0.0
569,PGE_bay,SDGE,42,0.0
570,PGE_bay,SDGE,43,0.0
571,PGE_bay,SDGE,44,0.0
572,PGE_bay,SDGE,45,0.0
573,PGE_bay,SDGE,46,0.0
574,PGE_bay,SDGE,47,0.0
575,PGE_bay,SDGE,48,0.0
576,SCE,PGE_valley,25,0.0
577,SCE,PGE_valley,26,0.0
578,SCE,PGE_valley,27,0.0
579,SCE,PGE_valley,28,0.0
580,SCE,PGE_valley,29,0.0
581,SCE,PGE_valley,30,0.0
582,SCE,PGE_valley,31,0.0
583,SCE,PGE_valley,32,0.0
584,SCE,PGE_valley,33,251.88107515450395
585,SCE,PGE_valley,34,266.8854073357761
586,SCE,PGE_valley,35,0.0
587,SCE,PGE_valley,36,0.0
588,SCE,PGE_valley,37,0.0
589,SCE,PGE_valley,38,0.0
590,SCE,PGE_valley,39,0.0
591,SCE,PGE_valley,40,0.0
592,SCE,PGE_valley,41,0.0
593,SCE,PGE_valley,42,0.0
594,SCE,PGE_valley,43,0.0
595,SCE,PGE_valley,44,0.0
596,SCE,PGE_valley,45,0.0
597,SCE,PGE_valley,46,0.0
598,SCE,PGE_valley,47,0.0
599,SCE,PGE_valley,48,0.0
600,SCE,PGE_bay,25,0.0
601,SCE,PGE_bay,26,0.0
602,SCE,PGE_bay,27,0.0
603,SCE,PGE_bay,28,0.0
604,SCE,PGE_bay,29,0.0
605,SCE,PGE_bay,30,0.0
606,SCE,PGE_bay,31,0.0
607,SCE,PGE_bay,32,0.0
608,SCE,PGE_bay,33,0.0
609,SCE,PGE_bay,34,0.0
610,SCE,PGE_bay,35,0.0
611,SCE,PGE_bay,36,0.0
612,SCE,PGE_bay,37,0.0
613,SCE,PGE_bay,38,0.0
614,SCE,PGE_bay,39,0.0
615,SCE,PGE_bay,40,0.0
616,SCE,PGE_bay,41,0.0
617,SCE,PGE_bay,42,0.0
618,SCE,PGE_bay,43,0.0
619,SCE,PGE_bay,44,0.0
620,SCE,PGE_bay,45,0.0
621,SCE,PGE_bay,46,0.0
622,SCE,PGE_bay,47,0.0
623,SCE,PGE_bay,48,0.0
624,SCE,SCE,25,0.0
625,SCE,SCE,26,0.0
626,SCE,SCE,27,0.0
627,SCE,SCE,28,0.0
628,SCE,SCE,29,0.0
629,SCE,SCE,30,0.0
630,SCE,SCE,31,0.0
631,SCE,SCE,32,0.0
632,SCE,SCE,33,0.0
633,SCE,SCE,34,0.0
634,SCE,SCE,35,0.0
635,SCE,SCE,36,0.0
636,SCE,SCE,37,0.0
637,SCE,SCE,38,0.0
638,SCE,SCE,39,0.0
639,SCE,SCE,40,0.0
640,SCE,SCE,41,0.0
641,SCE,SCE,42,0.0
642,SCE,SCE,43,0.0
643,SCE,SCE,44,0.0
644,SCE,SCE,45,0.0
645,SCE,SCE,46,0.0
646,SCE,SCE,47,0.0
647,SCE,SCE,48,0.0
648,SCE,SDGE,25,0.0
649,SCE,SDGE,26,0.0
650,SCE,SDGE,27,0.0
651,SCE,SDGE,28,0.0
652,SCE,SDGE,29,0.0
653,SCE,SDGE,30,0.0
654,SCE,SDGE,31,0.0
655,SCE,SDGE,32,0.0
656,SCE,SDGE,33,0.0
657,SCE,SDGE,34,0.0
658,SCE,SDGE,35,0.0
659,SCE,SDGE,36,0.0
660,SCE,SDGE,37,0.0
661,SCE,SDGE,38,0.0
662,SCE,SDGE,39,0.0
663,SCE,SDGE,40,0.0
664,SCE,SDGE,41,0.0
665,SCE,SDGE,42,1.385233001980816e-13
666,SCE,SDGE,43,171.39706016068152
667,SCE,SDGE,44,387.86987356475845
668,SCE,SDGE,45,330.72924476732646
669,SCE,SDGE,46,246.28218595355054
670,SCE,SDGE,47,96.88450355715327
671,SCE,SDGE,48,0.0
672,SDGE,PGE_valley,25,0.0
673,SDGE,PGE_valley,26,0.0
674,SDGE,PGE_valley,27,0.0
675,SDGE,PGE_valley,28,0.0
676,SDGE,PGE_valley,29,0.0
677,SDGE,PGE_valley,30,0.0
678,SDGE,PGE_valley,31,0.0
679,SDGE,PGE_valley,32,0.0
680,SDGE,PGE_valley,33,0.0
681,SDGE,PGE_valley,34,0.0
682,SDGE,PGE_valley,35,0.0
683,SDGE,PGE_valley,36,0.0
684,SDGE,PGE_valley,37,0.0
685,SDGE,PGE_valley,38,0.0
686,SDGE,PGE_valley,39,0.0
687,SDGE,PGE_valley,40,0.0
688,SDGE,PGE_valley,41,0.0
689,SDGE,PGE_valley,42,0.0
690,SDGE,PGE_valley,43,0.0
691,SDGE,PGE_valley,44,0.0
692,SDGE,PGE_valley,45,0.0
693,SDGE,PGE_valley,46,0.0
694,SDGE,PGE_valley,47,0.0
695,SDGE,PGE_valley,48,0.0
696,SDGE,PGE_bay,25,0.0
